school,class_id,student_no,kokugo_att_1,kokugo_att_2,kokugo_att_3,kokugo_att_4,kokugo_att_5,kokugo_att_6,kokugo_att_7,kokugo_att_8,kokugo_att_9,kokugo_att_10,kokugo_att_11,kokugo_att_12,shakai_att_1,shakai_att_2,shakai_att_3,shakai_att_4,shakai_att_5,shakai_att_6,shakai_att_7,shakai_att_8,shakai_att_9,shakai_att_10,shakai_att_11,shakai_att_12,sugaku_att_1,sugaku_att_2,sugaku_att_3,sugaku_att_4,sugaku_att_5,sugaku_att_6,sugaku_att_7,sugaku_att_8,sugaku_att_9,sugaku_att_10,sugaku_att_11,sugaku_att_12,rika_att_1,rika_att_2,rika_att_3,rika_att_4,rika_att_5,rika_att_6,rika_att_7,rika_att_8,rika_att_9,rika_att_10,rika_att_11,rika_att_12,eigo_att_1,eigo_att_2,eigo_att_3,eigo_att_4,eigo_att_5,eigo_att_6,eigo_att_7,eigo_att_8,eigo_att_9,eigo_att_10,eigo_att_11,eigo_att_12
B,2,22,3,4,3,4,3,4,3,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
B,2,23,4,4,4,4,4,4,4,4,4,4,4,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
B,2,24,4,4,4,4,4,4,2,4,4,3,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0
B,2,25,4,4,4,4,4,4,3,4,3,4,4,3,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,4,4,4,3,4,4,4,4,4,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
B,2,26,3,4,4,3,4,4,4,4,3,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3,3,4,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
B,2,27,3,3,4,4,4,2,2,4,4,3,4,4,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
B,2,28,3,3,3,3,3,3,3,3,4,2,2,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
B,2,29,4,4,4,4,4,3,2,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0
B,2,30,2,2,3,3,2,1,2,3,2,3,3,3,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2,2,3,2,3,1,2,3,2,3,3,3,3,2,3,4,4,1,2,4,4,3,4,3,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
C,1,1,3,2,3,4,2,2,3,3,4,4,2,3,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3,2,3,2,2,3,2,3,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0
